"facility_id","facility_code","facility_class","facility_type","stop_id","facility_short_name","facility_long_name","facility_desc","facility_lat","facility_lon","wheelchair_facility"
"342","342","1","escalator","place-davis","Unpaid lobby to Holland Street","Davis Escalator 342 (Unpaid lobby to Holland Street)","","","",2
"343","343","1","escalator","place-davis","Unpaid lobby to Holland Street","Davis Escalator 343 (Unpaid lobby to Holland Street)","","","",2
"344","344","1","escalator","place-qamnl","Paid lobby to platform","Quincy Adams Escalator 344 (Paid lobby to platform)","","","",2
"345","345","1","escalator","place-qamnl","Paid lobby to platform","Quincy Adams Escalator 345 (Paid lobby to platform)","","","",2
"346","346","1","escalator","place-qamnl","Unpaid lobby to garage level 2","Quincy Adams Escalator 346 (Unpaid lobby to garage level 2)","","","",2
"347","347","1","escalator","place-qamnl","Garage level 2 to level 4","Quincy Adams Escalator 347 (Garage level 2 to level 4)","","","",2
"348","348","1","escalator","place-qamnl","Garage level 4 to level 2","Quincy Adams Escalator 348 (Garage level 4 to level 2)","","","",2
"349","349","1","escalator","place-alfcl","Platform to Russell Field","Alewife Escalator 349 (Platform to Russell Field)","","","",2
"350","350","1","escalator","place-alfcl","Platform to Russell Field","Alewife Escalator 350 (Platform to Russell Field)","","","",2
"351","351","1","escalator","place-alfcl","Platform to main concourse","Alewife Escalator 351 (Platform to main concourse)","","","",2
"352","352","1","escalator","place-alfcl","Platform to main concourse","Alewife Escalator 352 (Platform to main concourse)","","","",2
"353","353","1","escalator","place-alfcl","Main concourse to busway","Alewife Escalator 353 (Main concourse to busway)","","","",2
"354","354","1","escalator","place-alfcl","Main concourse to garage level 3","Alewife Escalator 354 (Main concourse to garage level 3)","","","",2
"355","355","1","escalator","place-alfcl","Garage level 2 to level 4","Alewife Escalator 355 (Garage level 2 to level 4)","","","",2
"356","356","1","escalator","place-alfcl","Garage level 2 to level 5","Alewife Escalator 356 (Garage level 2 to level 5)","","","",2
"357","357","1","escalator","place-alfcl","Garage level 2 to level 6","Alewife Escalator 357 (Garage level 2 to level 6)","","","",2
"359","359","1","escalator","place-cntsq","Ashmont/Braintree platform to street","Central Escalator 359 (Ashmont/Braintree platform to street)","","","",2
"360","360","1","escalator","place-cntsq","Alewife platform to street","Central Escalator 360 (Alewife platform to street)","","","",2
"361","361","1","escalator","place-knncl","Ashmont/Braintree platform to street","Kendall/MIT Escalator 361 (Ashmont/Braintree platform to street)","","","",2
"362","362","1","escalator","place-knncl","Alewife platform to street","Kendall/MIT Escalator 362 (Alewife platform to street)","","","",2
"364","364","1","escalator","place-dwnxg","Oak Grove platform to Franklin Street","Downtown Crossing Escalator 364 (Oak Grove platform to Franklin Street)","","","",2
"365","365","1","escalator","place-dwnxg","Forest Hills platform to Washington Street","Downtown Crossing Escalator 365 (Forest Hills platform to Washington Street)","","","",2
"366","366","1","escalator","place-chncl","Forest Hills platform to Washington Street","Chinatown Escalator 366 (Forest Hills platform to Washington Street)","","","",2
"367","367","1","escalator","place-brdwy","Platform to paid lobby","Broadway Escalator 367 (Platform to paid lobby)","","","",2
"372","372","1","escalator","place-brdwy","Unpaid lobby to street","Broadway Escalator 372 (Unpaid lobby to street)","","","",2
"373","373","1","escalator","place-pktrm","Alewife platform to Tremont Street","Park Street Escalator 373 (Alewife platform to Tremont Street)","","","",2
"374","374","1","escalator","place-state","Oak Grove platform to City Hall Plaza","State Street Escalator 374 (Oak Grove platform to City Hall Plaza)","","","",2
"375","375","1","escalator","place-pktrm","Ashmont/Braintree platform to Tremont Street","Park Street Escalator 375 (Ashmont/Braintree platform to Tremont Street)","","","",2
"377","377","1","escalator","place-chncl","Oak Grove platform to Washington Street","Chinatown Escalator 377 (Oak Grove platform to Washington Street)","","","",2
"378","378","1","escalator","place-bmmnl","Paid lobby to Bowdoin platform","Beachmont Escalator 378 (Paid lobby to Bowdoin platform)","","","",2
"379","379","1","escalator","place-bmmnl","Paid lobby to Wonderland platform","Beachmont Escalator 379 (Paid lobby to Wonderland platform)","","","",2
"380","380","1","escalator","place-wimnl","Wonderland platform to pedestrian bridge","Wood Island Escalator 380 (Wonderland platform to pedestrian bridge)","","","",2
"382","382","1","escalator","place-sstat","Alewife platform to lobby","South Station Escalator 382 (Alewife platform to lobby)","","","",2
"383","383","1","escalator","place-nqncy","Newport Avenue parking to lobby","North Quincy Escalator 383 (Newport Avenue parking to lobby)","","","",2
"384","384","1","escalator","place-north","Valenti Way lobby to street","North Station Escalator 384 (Valenti Way lobby to street)","","","",2
"385","385","1","escalator","place-north","Valenti Way to lobby","North Station Escalator 385 (Valenti Way to lobby)","","","",2
"386","386","1","escalator","place-sstat","1 Financial Center to lobby","South Station Escalator 386 (1 Financial Center to lobby)","","","",2
"387","387","1","escalator","place-sstat","Lobby to 1 Financial Center","South Station Escalator 387 (Lobby to 1 Financial Center)","","","",2
"388","388","1","escalator","place-sstat","Lobby to CSA area","South Station Escalator 388 (Lobby to CSA area)","","","",2
"389","389","1","escalator","place-sstat","Ashmont/Braintree platform to CSA area","South Station Escalator 389 (Ashmont/Braintree platform to CSA area)","","","",2
"390","390","1","escalator","place-sstat","Ashmont/Braintree platform to Airport/Design Center platform","South Station Escalator 390 (Ashmont/Braintree platform to Airport/Design Center platform)","","","",2
"391","391","1","escalator","place-north","Causeway Street lobby to Forest Hills, Copley & West platform","North Station Escalator 391 (Causeway Street lobby to Forest Hills, Copley & West platform)","","","",2
"392","392","1","escalator","place-north","Forest Hills, Copley & West platform to Causeway Street lobby","North Station Escalator 392 (Forest Hills, Copley & West platform to Causeway Street lobby)","","","",2
"393","393","1","escalator","place-north","Oak Grove platform to Causeway Street lobby","North Station Escalator 393 (Oak Grove platform to Causeway Street lobby)","","","",2
"394","394","1","escalator","place-aqucl","Wonderland platform to State Street lobby","Aquarium Escalator 394 (Wonderland platform to State Street lobby)","","","",2
"395","395","1","escalator","place-aqucl","Bowdoin platform to State Street lobby","Aquarium Escalator 395 (Bowdoin platform to State Street lobby)","","","",2
"396","396","1","escalator","place-aqucl","State Street lobby to first landing","Aquarium Escalator 396 (State Street lobby to first landing)","","","",2
"397","397","1","escalator","place-aqucl","First landing to State Street","Aquarium Escalator 397 (First landing to State Street)","","","",2
"398","398","1","escalator","place-sstat","Alewife platform to Airport/Design Center platform","South Station Escalator 398 (Alewife platform to Airport/Design Center platform)","","","",2
"399","399","1","escalator","place-sstat","South Station platform to lobby","South Station Escalator 399 (South Station platform to lobby)","","","",2
"400","400","1","escalator","place-sstat","Ashmont/Braintree platform to South Station platform","South Station Escalator 400 (Ashmont/Braintree platform to South Station platform)","","","",2
"401","401","1","escalator","place-wtcst","World Trade Center Avenue mezzanine to street","World Trade Center Escalator 401 (World Trade Center Avenue mezzanine to street)","","","",2
"402","402","1","escalator","place-wtcst","Lobby to World Trade Center Avenue mezzanine","World Trade Center Escalator 402 (Lobby to World Trade Center Avenue mezzanine)","","","",2
"403","403","1","escalator","place-wtcst","South Station platform to lobby","World Trade Center Escalator 403 (South Station platform to lobby)","","","",2
"404","404","1","escalator","place-wtcst","Airport/Design Center platform to lobby","World Trade Center Escalator 404 (Airport/Design Center platform to lobby)","","","",2
"405","405","1","escalator","place-aqucl","Unpiad lobby to Atlantic Avenue","Aquarium Escalator 405 (Unpiad lobby to Atlantic Avenue)","","","",2
"406","406","1","escalator","place-aqucl","Atlantic Avenue to unpaid lobby","Aquarium Escalator 406 (Atlantic Avenue to unpaid lobby)","","","",2
"407","407","1","escalator","place-aport","Paid mezzanine to Wonderland platform","Airport Escalator 407 (Paid mezzanine to Wonderland platform)","","","",2
"408","408","1","escalator","place-aport","Wonderland platform to paid mezzanine","Airport Escalator 408 (Wonderland platform to paid mezzanine)","","","",2
"409","409","1","escalator","place-aport","Bowdoin platform to paid mezzanine","Airport Escalator 409 (Bowdoin platform to paid mezzanine)","","","",2
"410","410","1","escalator","place-aport","Paid mezzanine to Bowdoin platform","Airport Escalator 410 (Paid mezzanine to Bowdoin platform)","","","",2
"411","411","1","escalator","place-sstat","Airport/Design Center platform to lobby","South Station Escalator 411 (Airport/Design Center platform to lobby)","","","",2
"412","412","1","escalator","place-crtst","Lobby to mezzanine","Courthouse Escalator 412 (Lobby to mezzanine)","","","",2
"413","413","1","escalator","place-crtst","Mezzanine to Seaport Boulevard, Thomson Place","Courthouse Escalator 413 (Mezzanine to Seaport Boulevard, Thomson Place)","","","",2
"414","414","1","escalator","place-crtst","South Station platform to lobby","Courthouse Escalator 414 (South Station platform to lobby)","","","",2
"415","415","1","escalator","place-crtst","Airport/Design Center platform to lobby","Courthouse Escalator 415 (Airport/Design Center platform to lobby)","","","",2
"416","416","1","escalator","place-crtst","South Station platform to south lobby","Courthouse Escalator 416 (South Station platform to south lobby)","","","",2
"417","417","1","escalator","place-crtst","Airport/Design Center platform to south lobby","Courthouse Escalator 417 (Airport/Design Center platform to south lobby)","","","",2
"418","418","1","escalator","place-crtst","Lobby to Seaport Boulevard, Fan Pier Boulevard","Courthouse Escalator 418 (Lobby to Seaport Boulevard, Fan Pier Boulevard)","","","",2
"419","419","1","escalator","place-sstat","Lobby to South Station platform","South Station Escalator 419 (Lobby to South Station platform)","","","",2
"420","420","1","escalator","place-sstat","Alewife platform to South Station platform","South Station Escalator 420 (Alewife platform to South Station platform)","","","",2
"421","421","1","escalator","place-north","Passageway lobby to street","North Station Escalator 421 (Passageway lobby to street)","","","",2
"422","422","1","escalator","place-north","Passageway street to lobby","North Station Escalator 422 (Passageway street to lobby)","","","",2
"423","423","1","escalator","place-shmnl","Platform to paid lobby","Savin Hill Escalator 423 (Platform to paid lobby)","","","",2
"424","424","1","escalator","place-sstat","Lobby to Dewey Square","South Station Escalator 424 (Lobby to Dewey Square)","","","",2
"425","425","1","escalator","place-chmnl","Lobby to Ashmont/Braintree platform","Charles/MGH Escalator 425 (Lobby to Ashmont/Braintree platform)","","","",2
"426","426","1","escalator","place-chmnl","Lobby to Alewife platform","Charles/MGH Escalator 426 (Lobby to Alewife platform)","","","",2
"427","427","1","escalator","place-fldcr","Paid lobby to Alewife platform","Fields Corner Escalator 427 (Paid lobby to Alewife platform)","","","",2
"428","428","1","escalator","place-mvbcl","Unpaid lobby to street","Maverick Escalator 428 (Unpaid lobby to street)","","","",2
"429","429","1","escalator","place-mvbcl","Street to unpaid lobby","Maverick Escalator 429 (Street to unpaid lobby)","","","",2
"430","430","1","escalator","place-kencl","Lobby to busway, street","Kenmore Escalator 430 (Lobby to busway, street)","","","",2
"431","431","1","escalator","place-kencl","Westbound platform to lobby","Kenmore Escalator 431 (Westbound platform to lobby)","","","",2
"432","432","1","escalator","place-kencl","Park Street & North platform to lobby","Kenmore Escalator 432 (Park Street & North platform to lobby)","","","",2
"433","433","1","escalator","place-mvbcl","Unpaid lobby to street","Maverick Escalator 433 (Unpaid lobby to street)","","","",2
"434","434","1","escalator","place-mvbcl","Street to unpaid lobby","Maverick Escalator 434 (Street to unpaid lobby)","","","",2
"435","435","1","escalator","place-armnl","Park Street & North platform to paid lobby","Arlington Escalator 435 (Park Street & North platform to paid lobby)","","","",2
"436","436","1","escalator","place-armnl","Copley & West platform to paid lobby","Arlington Escalator 436 (Copley & West platform to paid lobby)","","","",2
"437","437","1","escalator","place-asmnl","Ashmont platform to Peabody Square, busway","Ashmont Escalator 437 (Ashmont platform to Peabody Square, busway)","","","",2
"438","438","1","escalator","place-asmnl","Ashmont platform to Mattapan Line, busway","Ashmont Escalator 438 (Ashmont platform to Mattapan Line, busway)","","","",2
"439","439","1","escalator","place-coecl","Kenmore & West, Heath Street lobby to street","Copley Escalator 439 (Kenmore & West, Heath Street lobby to street)","","","",2
"440","440","1","escalator","place-orhte","Bowdoin platform to pedestrian bridge","Orient Heights Escalator 440 (Bowdoin platform to pedestrian bridge)","","","",2
"441","441","1","escalator","place-orhte","Wonderland platform to pedestrian bridge","Orient Heights Escalator 441 (Wonderland platform to pedestrian bridge)","","","",2
"442","442","1","escalator","place-astao","Foley Street to unpaid lobby","Assembly Escalator 442 (Foley Street to unpaid lobby)","","","",2
"443","443","1","escalator","place-astao","Platform to Foley Street paid lobby","Assembly Escalator 443 (Platform to Foley Street paid lobby)","","","",2
"444","444","1","escalator","place-gover","North Station & North platform to street","Government Center Escalator 444 (North Station & North platform to street)","","","",2
"445","445","1","escalator","place-gover","Copley & West, Blue Line platforms to street","Government Center Escalator 445 (Copley & West, Blue Line platforms to street)","","","",2
"446","446","1","escalator","place-gover","Blue Line platform to Green Line platform","Government Center Escalator 446 (Blue Line platform to Green Line platform)","","","",2
"501","501","1","escalator","place-state","Oak Grove platform to Wonderland platform","State Street Escalator 501 (Oak Grove platform to Wonderland platform)","","","",2
"502","502","1","escalator","place-state","Wonderland platform to Old State House","State Street Escalator 502 (Wonderland platform to Old State House)","","","",2
"503","503","1","escalator","place-prmnl","Lobby to Huntington Avenue","Prudential Escalator 503 (Lobby to Huntington Avenue)","","","",2
"504","504","1","escalator","place-portr","Unpaid lobby to street","Porter Escalator 504 (Unpaid lobby to street)","","","",2
"505","505","1","escalator","place-portr","Unpaid lobby to street","Porter Escalator 505 (Unpaid lobby to street)","","","",2
"506","506","1","escalator","place-portr","Alewife platform south to Ashmont/Braintree platform","Porter Escalator 506 (Alewife platform south to Ashmont/Braintree platform)","","","",2
"507","507","1","escalator","place-portr","Alewife platform north to Ashmont/Braintree platform","Porter Escalator 507 (Alewife platform north to Ashmont/Braintree platform)","","","",2
"509","509","1","escalator","place-portr","Ashmont/Braintree platform to paid lobby","Porter Escalator 509 (Ashmont/Braintree platform to paid lobby)","","","",2
"510","510","1","escalator","place-portr","Ashmont/Braintree platform to paid lobby","Porter Escalator 510 (Ashmont/Braintree platform to paid lobby)","","","",2
"511","511","1","escalator","place-portr","Ashmont/Braintree platform to paid lobby","Porter Escalator 511 (Ashmont/Braintree platform to paid lobby)","","","",2
"512","512","1","escalator","place-harsq","Mezzanine to Harvard Square","Harvard Escalator 512 (Mezzanine to Harvard Square)","","","",2
"513","513","1","escalator","place-harsq","Mezzanine to Harvard Square","Harvard Escalator 513 (Mezzanine to Harvard Square)","","","",2
"514","514","1","escalator","place-harsq","Main lobby to Harvard Square mezzanine","Harvard Escalator 514 (Main lobby to Harvard Square mezzanine)","","","",2
"515","515","1","escalator","place-harsq","Main lobby to Harvard Square mezzanine","Harvard Escalator 515 (Main lobby to Harvard Square mezzanine)","","","",2
"516","516","1","escalator","place-harsq","Alewife platform to Church Street lobby","Harvard Escalator 516 (Alewife platform to Church Street lobby)","","","",2
"523","523","1","escalator","place-state","Forest Hills platform to Washington Street, Milk Street","State Street Escalator 523 (Forest Hills platform to Washington Street, Milk Street)","","","",2
"701","701","1","elevator","place-wondl","Main lobby to garage","Wonderland Elevator 701 (Main lobby to garage)","","","",1
"702","702","1","elevator","place-wondl","Main lobby to garage","Wonderland Elevator 702 (Main lobby to garage)","","","",1
"703","703","1","elevator","place-wondl","Main lobby to garage","Wonderland Elevator 703 (Main lobby to garage)","","","",1
"708","708","1","elevator","place-wondl","Main lobby to pedestrian bridge","Wonderland Elevator 708 (Main lobby to pedestrian bridge)","","","",1
"709","709","1","elevator","place-wondl","Bowdoin platform to pedestrian plaza","Wonderland Elevator 709 (Bowdoin platform to pedestrian plaza)","","","",1
"710","710","1","elevator","place-wondl","Wonderland platform to pedestrian plaza","Wonderland Elevator 710 (Wonderland platform to pedestrian plaza)","","","",1
"711","711","1","elevator","place-wondl","Ocean Avenue to pedestrian plaza","Wonderland Elevator 711 (Ocean Avenue to pedestrian plaza)","","","",1
"712","712","1","elevator","place-orhte","Bowdoin platform to paid pedestrian bridge","Orient Heights Elevator 712 (Bowdoin platform to paid pedestrian bridge)","","","",1
"713","713","1","elevator","place-orhte","Bennington Street to unpaid pedestrian bridge","Orient Heights Elevator 713 (Bennington Street to unpaid pedestrian bridge)","","","",1
"714","714","1","elevator","place-orhte","Wonderland platform to paid pedestrian bridge","Orient Heights Elevator 714 (Wonderland platform to paid pedestrian bridge)","","","",1
"715","715","1","elevator","place-orhte","Winthrop busway to unpaid pedestrian bridge","Orient Heights Elevator 715 (Winthrop busway to unpaid pedestrian bridge)","","","",1
"716","716","1","elevator","place-astao","Foley Street to unpaid lobby","Assembly Elevator 716 (Foley Street to unpaid lobby)","","","",1
"717","717","1","elevator","place-astao","Platform to Foley Street paid lobby","Assembly Elevator 717 (Platform to Foley Street paid lobby)","","","",1
"718","718","1","elevator","place-astao","Revolution Drive to unpaid lobby","Assembly Elevator 718 (Revolution Drive to unpaid lobby)","","","",1
"719","719","1","elevator","place-astao","Platform to Revolution Drive paid lobby","Assembly Elevator 719 (Platform to Revolution Drive paid lobby)","","","",1
"720","720","1","elevator","place-gover","Green Line platform to street","Government Center Elevator 720 (Green Line platform to street)","","","",1
"721","721","1","elevator","place-gover","Green Line platform to street","Government Center Elevator 721 (Green Line platform to street)","","","",1
"722","722","1","elevator","place-gover","Blue Line platform to Green Line platform","Government Center Elevator 722 (Blue Line platform to Green Line platform)","","","",1
"723","723","1","elevator","place-gover","Blue Line platform to Green Line platform","Government Center Elevator 723 (Blue Line platform to Green Line platform)","","","",1
"800","800","1","elevator","place-ogmnl","Busway, parking lot to lobby","Oak Grove Elevator 800 (Busway, parking lot to lobby)","","","",1
"801","801","1","elevator","place-ogmnl","Orange Line platform to lobby","Oak Grove Elevator 801 (Orange Line platform to lobby)","","","",1
"802","802","1","elevator","place-state","Oak Grove platform to Forest Hills, Wonderland platforms","State Street Elevator 802 (Oak Grove platform to Forest Hills, Wonderland platforms)","","","",1
"803","803","1","elevator","place-state","Forest Hills platform to Washington Street, Milk Street","State Street Elevator 803 (Forest Hills platform to Washington Street, Milk Street)","","","",1
"804","804","1","elevator","place-pktrm","Government Center & North lobby to Tremont Street, Winter Street","Park Street Elevator 804 (Government Center & North lobby to Tremont Street, Winter Street)","","","",1
"805","805","1","elevator","place-qamnl","Lobby to platform","Quincy Adams Elevator 805 (Lobby to platform)","","","",1
"806","806","1","elevator","place-qamnl","Lobby to parking garage","Quincy Adams Elevator 806 (Lobby to parking garage)","","","",1
"807","807","1","elevator","place-qamnl","Lobby to parking garage","Quincy Adams Elevator 807 (Lobby to parking garage)","","","",1
"808","808","1","elevator","place-pktrm","Red Line center platform to Government Center & North platform, Winter Street Concourse","Park Street Elevator 808 (Red Line center platform to Government Center & North platform, Winter Street Concourse)","","","",1
"810","810","1","elevator","place-qnctr","Red Line platform to lobby","Quincy Center Elevator 810 (Red Line platform to lobby)","","","",1
"811","811","1","elevator","place-brntn","Red Line platform to lobby","Braintree Elevator 811 (Red Line platform to lobby)","","","",1
"812","812","1","elevator","place-pktrm","Green Line underpass to Lechmere platform","Park Street Elevator 812 (Green Line underpass to Lechmere platform)","","","",1
"813","813","1","elevator","place-alfcl","Platform to main lobby","Alewife Elevator 813 (Platform to main lobby)","","","",1
"814","814","1","elevator","place-alfcl","Main lobby to parking garage","Alewife Elevator 814 (Main lobby to parking garage)","","","",1
"815","815","1","elevator","place-alfcl","Main lobby to parking garage","Alewife Elevator 815 (Main lobby to parking garage)","","","",1
"816","816","1","elevator","place-davis","Platform to lobby","Davis Elevator 816 (Platform to lobby)","","","",1
"817","817","1","elevator","place-davis","Lobby to College Avenue","Davis Elevator 817 (Lobby to College Avenue)","","","",1
"821","821","1","elevator","place-harsq","Lobby to Harvard Square","Harvard Elevator 821 (Lobby to Harvard Square)","","","",1
"823","823","1","elevator","place-pktrm","Green Line underpass to Copley & West platform","Park Street Elevator 823 (Green Line underpass to Copley & West platform)","","","",1
"830","830","1","elevator","place-jfk","Braintree branch platform to lobby","JFK/UMass Elevator 830 (Braintree branch platform to lobby)","","","",1
"831","831","1","elevator","place-jfk","Ashmont branch platform to lobby","JFK/UMass Elevator 831 (Ashmont branch platform to lobby)","","","",1
"840","840","1","elevator","place-sull","Platform to lobby","Sullivan Square Elevator 840 (Platform to lobby)","","","",1
"841","841","1","elevator","place-forhl","Commuter Rail platform to lobby","Forest Hills Elevator 841 (Commuter Rail platform to lobby)","","","",1
"842","842","1","elevator","place-forhl","Orange Line platform to lobby","Forest Hills Elevator 842 (Orange Line platform to lobby)","","","",1
"843","843","1","elevator","place-forhl","Lower busway to lobby","Forest Hills Elevator 843 (Lower busway to lobby)","","","",1
"844","844","1","elevator","place-grnst","Platform to paid lobby","Green Street Elevator 844 (Platform to paid lobby)","","","",1
"845","845","1","elevator","place-sbmnl","Platform to paid lobby","Stony Brook Elevator 845 (Platform to paid lobby)","","","",1
"846","846","1","elevator","place-jaksn","Platform to paid lobby","Jackson Square Elevator 846 (Platform to paid lobby)","","","",1
"847","847","1","elevator","place-rcmnl","Platform to paid lobby","Roxbury Crossing Elevator 847 (Platform to paid lobby)","","","",1
"848","848","1","elevator","place-rugg","Lower busway to lobby","Ruggles Elevator 848 (Lower busway to lobby)","","","",1
"849","849","1","elevator","place-rugg","Commuter Rail platform to lobby","Ruggles Elevator 849 (Commuter Rail platform to lobby)","","","",1
"850","850","1","elevator","place-rugg","Orange Line platform to lobby","Ruggles Elevator 850 (Orange Line platform to lobby)","","","",1
"851","851","1","elevator","place-rugg","Forsyth Street to lobby","Ruggles Elevator 851 (Forsyth Street to lobby)","","","",1
"852","852","1","elevator","place-masta","Platform to paid lobby","Massachusetts Ave Elevator 852 (Platform to paid lobby)","","","",1
"853","853","1","elevator","place-bbsta","Orange Line platform to lobby","Back Bay Elevator 853 (Orange Line platform to lobby)","","","",1
"854","854","1","elevator","place-bbsta","Commuter Rail track 2 to lobby","Back Bay Elevator 854 (Commuter Rail track 2 to lobby)","","","",1
"855","855","1","elevator","place-bbsta","Commuter Rail tracks 1 and 3 to lobby","Back Bay Elevator 855 (Commuter Rail tracks 1 and 3 to lobby)","","","",1
"856","856","1","elevator","place-bbsta","Commuter Rail tracks 5 and 7 to lobby","Back Bay Elevator 856 (Commuter Rail tracks 5 and 7 to lobby)","","","",1
"857","857","1","elevator","place-tumnl","Washington Street lobby to street","Tufts Medical Center Elevator 857 (Washington Street lobby to street)","","","",1
"858","858","1","elevator","place-tumnl","Oak Grove platform to Washington Street lobby","Tufts Medical Center Elevator 858 (Oak Grove platform to Washington Street lobby)","","","",1
"859","859","1","elevator","place-tumnl","Forest Hills platform to Washington Street lobby","Tufts Medical Center Elevator 859 (Forest Hills platform to Washington Street lobby)","","","",1
"860","860","1","elevator","place-cntsq","Alewife platform to street","Central Elevator 860 (Alewife platform to street)","","","",1
"861","861","1","elevator","place-cntsq","Ashmont/Braintree platform to street","Central Elevator 861 (Ashmont/Braintree platform to street)","","","",1
"863","863","1","elevator","place-knncl","Ashmont/Braintree platform to street","Kendall/MIT Elevator 863 (Ashmont/Braintree platform to street)","","","",1
"864","864","1","elevator","place-welln","Oak Grove platform to lobby","Wellington Elevator 864 (Oak Grove platform to lobby)","","","",1
"865","865","1","elevator","place-welln","Forest Hills platform to lobby","Wellington Elevator 865 (Forest Hills platform to lobby)","","","",1
"866","866","1","elevator","place-knncl","Alewife platform to street","Kendall/MIT Elevator 866 (Alewife platform to street)","","","",1
"867","867","1","elevator","place-brdwy","Platform to lobby","Broadway Elevator 867 (Platform to lobby)","","","",1
"868","868","1","elevator","place-brdwy","Lobby to street","Broadway Elevator 868 (Lobby to street)","","","",1
"869","869","1","elevator","place-dwnxg","Alewife platform to Summer Street Concourse","Downtown Crossing Elevator 869 (Alewife platform to Summer Street Concourse)","","","",1
"870","870","1","elevator","place-dwnxg","Ashmont/Braintree platform to Summer Street Concourse","Downtown Crossing Elevator 870 (Ashmont/Braintree platform to Summer Street Concourse)","","","",1
"871","871","1","elevator","place-qnctr","Lobby to parking garage","Quincy Center Elevator 871 (Lobby to parking garage)","","","",1
"872","872","1","elevator","place-andrw","Unpaid lobby to street","Andrew Elevator 872 (Unpaid lobby to street)","","","",1
"876","876","1","elevator","place-chncl","Oak Grove platform to street","Chinatown Elevator 876 (Oak Grove platform to street)","","","",1
"879","879","1","elevator","place-andrw","Ashmont/Braintree platform to paid lobby","Andrew Elevator 879 (Ashmont/Braintree platform to paid lobby)","","","",1
"880","880","1","elevator","place-andrw","Alewife platform to paid lobby","Andrew Elevator 880 (Alewife platform to paid lobby)","","","",1
"881","881","1","elevator","place-sull","Lobby to Oak Grove platform","Sullivan Square Elevator 881 (Lobby to Oak Grove platform)","","","",1
"884","884","1","elevator","place-rbmnl","Bowdoin platform to lobby","Revere Beach Elevator 884 (Bowdoin platform to lobby)","","","",1
"885","885","1","elevator","place-rbmnl","Wonderland platform to lobby","Revere Beach Elevator 885 (Wonderland platform to lobby)","","","",1
"886","886","1","elevator","place-bmmnl","Bowdoin platform to lobby","Beachmont Elevator 886 (Bowdoin platform to lobby)","","","",1
"887","887","1","elevator","place-bmmnl","Wonderland platform to lobby","Beachmont Elevator 887 (Wonderland platform to lobby)","","","",1
"889","889","1","elevator","place-wimnl","Bowdoin platform to pedestrian bridge","Wood Island Elevator 889 (Bowdoin platform to pedestrian bridge)","","","",1
"890","890","1","elevator","place-wimnl","Wonderland platform to pedestrian bridge","Wood Island Elevator 890 (Wonderland platform to pedestrian bridge)","","","",1
"891","891","1","elevator","place-dwnxg","Oak Grove platform to Franklin Street","Downtown Crossing Elevator 891 (Oak Grove platform to Franklin Street)","","","",1
"892","892","1","elevator","place-dwnxg","Forest Hills platform to Washington Street, Winter Street","Downtown Crossing Elevator 892 (Forest Hills platform to Washington Street, Winter Street)","","","",1
"896","896","1","elevator","place-qnctr","Commuter Rail platform to lobby","Quincy Center Elevator 896 (Commuter Rail platform to lobby)","","","",1
"897","897","1","elevator","place-nqncy","Hancock Street parking to northern lobby","North Quincy Elevator 897 (Hancock Street parking to northern lobby)","","","",1
"898","898","1","elevator","place-nqncy","Newport Avenue parking to northern lobby","North Quincy Elevator 898 (Newport Avenue parking to northern lobby)","","","",1
"899","899","1","elevator","place-nqncy","Platform to northern lobby","North Quincy Elevator 899 (Platform to northern lobby)","","","",1
"900","900","1","elevator","place-nqncy","Platform to main lobby, busway","North Quincy Elevator 900 (Platform to main lobby, busway)","","","",1
"901","901","1","elevator","place-sstat","Ashmont/Braintree platform to lobby, Airport/Design Center platform","South Station Elevator 901 (Ashmont/Braintree platform to lobby, Airport/Design Center platform)","","","",1
"903","903","1","elevator","place-haecl","Oak Grove platform to Congress Street lobby","Haymarket Elevator 903 (Oak Grove platform to Congress Street lobby)","","","",1
"904","904","1","elevator","place-haecl","Forest Hills platform to Congress Street lobby","Haymarket Elevator 904 (Forest Hills platform to Congress Street lobby)","","","",1
"905","905","1","elevator","place-haecl","Underpass to Forest Hills platform","Haymarket Elevator 905 (Underpass to Forest Hills platform)","","","",1
"906","906","1","elevator","place-haecl","Underpass to Green Line platforms,busway","Haymarket Elevator 906 (Underpass to Green Line platforms,busway)","","","",1
"907","907","1","elevator","place-haecl","Underpass to Oak Grove platform","Haymarket Elevator 907 (Underpass to Oak Grove platform)","","","",1
"908","908","1","elevator","place-haecl","Green Line lobby to busway, Sudbury Street, New Chardon Street","Haymarket Elevator 908 (Green Line lobby to busway, Sudbury Street, New Chardon Street)","","","",1
"909","909","1","elevator","place-north","Orange Line, Green Line lobby to Valenti Way","North Station Elevator 909 (Orange Line, Green Line lobby to Valenti Way)","","","",1
"910","910","1","elevator","place-north","Lobby to Forest Hills, Copley & West platform","North Station Elevator 910 (Lobby to Forest Hills, Copley & West platform)","","","",1
"911","911","1","elevator","place-north","Oak Grove platform to paid lobby","North Station Elevator 911 (Oak Grove platform to paid lobby)","","","",1
"912","912","1","elevator","place-north","Orange Line, Green Line lobby to Causeway Street","North Station Elevator 912 (Orange Line, Green Line lobby to Causeway Street)","","","",1
"913","913","1","elevator","place-aqucl","Wonderland platform to State Street lobby","Aquarium Elevator 913 (Wonderland platform to State Street lobby)","","","",1
