"added_route_id","trip_id"
"442","35862982"
"116","35863004"
"117","35863004"
"116","35863005"
"117","35863005"
"116","35863006"
"117","35863006"
"116","35863007"
"117","35863007"
"116","35863008"
"117","35863008"
"116","35863009"
"117","35863009"
"116","35863010"
"117","35863010"
"116","35863011"
"117","35863011"
"116","35863012"
"117","35863012"
"116","35863013"
"117","35863013"
"116","35863014"
"117","35863014"
"116","35863015"
"117","35863015"
"116","35863030"
"117","35863030"
"116","35863033"
"117","35863033"
"116","35863035"
"117","35863035"
"116","35863037"
"117","35863037"
"116","35863040"
"117","35863040"
"116","35863041"
"117","35863041"
"116","35863044"
"117","35863044"
"116","35863046"
"117","35863046"
"116","35863048"
"117","35863048"
"214","35756553"
"216","35756553"
"214","35756554"
"216","35756554"
"214","35756555"
"216","35756555"
"214","35756556"
"216","35756556"
"214","35756592"
"216","35756592"
"214","35756593"
"216","35756593"
"214","35756594"
"216","35756594"
"214","35756595"
"216","35756595"
"214","35756596"
"216","35756596"
"214","35756597"
"216","35756597"
"214","35756598"
"216","35756598"
"214","35756599"
"216","35756599"
"214","35756600"
"216","35756600"
"214","35756601"
"216","35756601"
"214","35756602"
"216","35756602"
"214","35756603"
"216","35756603"
"214","35756604"
"216","35756604"
"214","35756674"
"216","35756674"
"214","35756675"
"216","35756675"
"214","35756676"
"216","35756676"
"214","35756677"
"216","35756677"
"214","35756678"
"216","35756678"
"214","35756679"
"216","35756679"
"214","35756680"
"216","35756680"
"214","35756681"
"216","35756681"
"214","35756682"
"216","35756682"
"214","35763333"
"216","35763333"
"214","35763344"
"216","35763344"
"214","35763349"
"216","35763349"
"214","35763351"
"216","35763351"
"214","35763352"
"216","35763352"
"214","35763378"
"216","35763378"
"214","35763379"
"216","35763379"
"214","35763380"
"216","35763380"
"214","35763381"
"216","35763381"
"214","35763384"
"216","35763384"
"214","35763387"
"216","35763387"
"214","35763388"
"216","35763388"
"214","35763389"
"216","35763389"
"214","35763390"
"216","35763390"
"214","35763391"
"216","35763391"
"214","35763392"
"216","35763392"
"214","35763393"
"216","35763393"
"214","35763458"
"216","35763458"
"214","35763459"
"216","35763459"
"214","35763469"
"216","35763469"
"214","35763470"
"216","35763470"
"214","35763491"
"216","35763491"
"214","35763492"
"216","35763492"
"214","35763497"
"216","35763497"
"214","35763498"
"216","35763498"
"214","35763535"
"216","35763535"
"214","35763536"
"216","35763536"
"214","35763612"
"216","35763612"
"214","35763614"
"216","35763614"
"214","35763616"
"216","35763616"
"214","35763619"
"216","35763619"
"214","35763620"
"216","35763620"
"214","35763622"
"216","35763622"
"214","35763625"
"216","35763625"
"214","35763626"
"216","35763626"
"214","35763628"
"216","35763628"
"214","35763629"
"216","35763629"
"214","35763634"
"216","35763634"
"214","35763636"
"216","35763636"
"214","35763638"
"216","35763638"
"214","35763640"
"216","35763640"
"214","35763642"
"216","35763642"
"214","35763644"
"216","35763644"
"214","35763646"
"216","35763646"
"214","35763648"
"216","35763648"
"214","35763650"
"216","35763650"
"214","35763652"
"216","35763652"
"214","35763654"
"216","35763654"
"214","35763656"
"216","35763656"
"214","35763658"
"216","35763658"
"214","35763660"
"216","35763660"
"214","35763662"
"216","35763662"
"214","35763664"
"216","35763664"
"214","35763666"
"216","35763666"
"214","35763668"
"216","35763668"
"214","35763671"
"216","35763671"
"214","35763673"
"216","35763673"
"214","35763675"
"216","35763675"
"214","35763724"
"216","35763724"
"214","35763725"
"216","35763725"
"214","35763728"
"216","35763728"
"214","35763729"
"216","35763729"
"214","35763732"
"216","35763732"
"214","35763733"
"216","35763733"
"214","35763736"
"216","35763736"
"214","35763737"
"216","35763737"
"214","35763738"
"216","35763738"
"214","35763739"
"216","35763739"
"214","35763744"
"216","35763744"
"214","35763747"
"216","35763747"
"214","35843781"
"216","35843781"
"214","35843783"
"216","35843783"
"214","35843785"
"216","35843785"
"214","35843786"
"216","35843786"
"214","35843823"
"216","35843823"
"214","35843824"
"216","35843824"
"214","35843826"
"216","35843826"
"214","35843828"
"216","35843828"
"214","35843829"
"216","35843829"
"214","35843830"
"216","35843830"
"214","35843837"
"216","35843837"
"214","35843846"
"216","35843846"
"214","35843857"
"216","35843857"
"214","35843858"
"216","35843858"
"214","35843859"
"216","35843859"
"214","35843862"
"216","35843862"
"214","35843863"
"216","35843863"
"214","35843866"
"216","35843866"
"214","35843868"
"216","35843868"
"214","35843870"
"216","35843870"
"214","35843878"
"216","35843878"
"214","35843888"
"216","35843888"
"214","35843893"
"216","35843893"
"214","35843937"
"216","35843937"
"214","35843938"
"216","35843938"
"214","35843939"
"216","35843939"
"214","35843940"
"216","35843940"
"214","35843941"
"216","35843941"
